"UniqueID","Year","Breed","Breedclean","Age","Agenum","Gender","SpayNeuter","Borough","ZipCode"
8188,"2016","Chow Chow","Other","4",4,"M","false","Queens","11420"
8192,"2016","Pit Bull","Pit bull","4",4,"M","false","Queens","11105"
8193,"2016","American Pit Bull Terrier/Pit Bull","Pit bull","5",5,"M","false","Queens","11101"
8195,"2016","Pit Bull","Pit bull","2",2,"M","true","Queens","11422"
8196,"2016","POODLE MIX","Poodle","11",11,"F","false","Queens","11421"
8197,"2016","Dachshund Smooth Coat","Other","10",10,"F","false","Queens","11101"
8201,"2016","Rottweiler","Other","4",4,"M","true","Queens","11432"
8203,"2016","American Pit Bull Terrier/Pit Bull","Pit bull","2",2,"M","false","Queens","11420"
8205,"2016","YORKSHIRE / JACK RUSS","Terrier","6",6,"F","false","Queens","11372"
8206,"2016","POMERANIAN & CHIHUAHUA","Chihuahua","10 MTHS &",0,"M","false","Queens","11369"
8207,"2016","Doberman Pinscher","Other","6",6,"M","false","Queens","11356"
8211,"2016","American Pit Bull Mix / Pit Bull Mix","Pit bull","3",3,"M","false","Queens","11433"
8218,"2016","Shih Tzu","Shih tzu","7",7,"M","true","Queens","11417"
8219,"2016","Shih Tzu","Shih tzu","1",1,"F","true","Queens","11354"
8220,"2016","POODLE/ MALTESE MIX","Maltese","7",7,"M","false","Queens","11421"
8221,"2016","GOLDEN RETRIEVER","Retriever","10",10,"M","true","Queens","11102"
8222,"2016","BORDER COLLIE MIX","Other","1",1,"F","true","Queens","11101"
8226,"2016","CORGI","Other","6",6,"M","false","Queens","11373"
8229,"2016","German Shepherd","German shepherd","7M",0,"M","false","Queens","11432"
8231,"2016","Pit Bull","Pit bull","4",4,"F","true","Queens","11418"
8232,"2016","Pit Bull","Pit bull","4",4,"F","true","Queens","11418"
8233,"2016","PIT BULL MIX","Pit bull","5",5,"M","true","Queens","11368"
8234,"2016","German Shepherd","German shepherd","2",2,"F","false","Queens","11377"
8235,"2016","SHIH TZU X/POODLE","Shih tzu","6",6,"M","true","Queens","11102"
8237,"2016","JACK RUSS / SHIH TZU","Shih tzu","4",4,"F","true","Queens","11385"
8238,"2016","MALTESE / POODLE MIX","Maltese","1",1,"M","false","Queens","11378"
8239,"2016","PIT BULL/BOXER X","Pit bull","2",2,"M","false","Queens","11368"
8240,"2016","Pit Bull","Pit bull","10",10,"M","false","Queens","11691"
8242,"2016","American Pit Bull Terrier/Pit Bull","Pit bull","5",5,"F","false","Queens","11432"
8243,"2016","Siberian Husky","Husky","5",5,"M","true","Queens","11103"
8244,"2016","CHIHUAHUA","Chihuahua","8",8,"F","true","Queens","11691"
8246,"2016","German Shepherd","German shepherd","11M",0,"F","true","Queens","11366"
8248,"2016","Chihuahua","Chihuahua","2",2,"U","false","Queens","11372"
8249,"2016","Chihuahua","Chihuahua","2",2,"U","false","Queens","11372"
8250,"2016","Golden Retriever","Retriever","6",6,"M","true","Queens","11355"
8253,"2016","YORKIPOO","Other","2Y",2,"M","true","Queens","11426"
8257,"2016","Poodle, Toy","Poodle","1",1,"M","false","Queens","11355"
8260,"2016","Pit Bull","Pit bull","5",5,"M","false","Queens","11411"
8261,"2016","GOLDEN RETRIVER MIX","Retriever","1",1,"F","false","Queens","11385"
8262,"2016","Shih Tzu","Shih tzu","2",2,"F","true","Queens","11368"
8263,"2016","Shih Tzu","Shih tzu","2",2,"F","true","Queens","11368"
8264,"2016","POODLE/ SHIH TZU MIX","Shih tzu","1",1,"M","true","Queens","11102"
